0,1,2,3,4,5,6,7
1.04,1.03772105,1.03503824,1.02896294,1.02818222,1.02683919,1.02725594,1.02709893
1.04,1.03670939,1.03256514,1.02367529,1.02209073,1.0192815999999998,1.02157169,1.02074191
1.04,1.03776574,1.03512291,1.02914915,1.02845935,1.02733582,1.02736881,1.02716924
1.04,1.03734386,1.03400738,1.02678651,1.0252413,1.02250698,1.0258617,1.02570447
1.04,1.03867428,1.03728237,1.03378448,1.03330277,1.03257287,1.03313702,1.03285516
1.04,1.03848511,1.03681261,1.03278203,1.03234054,1.03200853,1.03197472,1.03151107
1.04,1.03897375,1.03793532,1.03521156,1.03488709,1.03454791,1.03480938,1.03470767
1.04,1.0389989,1.0378668,1.03513456,1.0347937,1.03437697,1.03484311,1.0347714
1.04,1.03895057,1.0377311,1.03485541,1.03457786,1.03427054,1.03437549,1.03403869
1.04,1.03903539,1.03789256,1.03523345,1.03440189,1.03369732,1.03502848,1.03495678
1.04,1.03914575,1.03815683,1.03580359,1.03537001,1.03480357,1.03542331,1.0351
1.04,1.03870711,1.03706859,1.03348486,1.03319563,1.03287763,1.03320937,1.03313753
1.04,1.03935478,1.03865491,1.0368804,1.03651831,1.03631839,1.03669286,1.03662725
1.04,1.03932363,1.03858472,1.03672542,1.03633445,1.0361506,1.03652074,1.03644914
1.04,1.03915286,1.03817608,1.03584343,1.03523009,1.03473328,1.0355788,1.03551312
1.04,1.03919153,1.0382998,1.03608713,1.03590809,1.03577068,1.03553229,1.03542945
1.04,1.03917686,1.03834495,1.03613218,1.03595435,1.0357995999999998,1.0355933000000002,1.03552164
1.04,1.0387316,1.03722101,1.0337471,1.03352417,1.03331835,1.03311696,1.03279795
1.04,1.03862739,1.03693519,1.03315505,1.03261658,1.032214,1.03218325,1.03202286
1.04,1.03895526,1.03775591,1.03489982,1.03469163,1.03458452,1.03409816,1.0339307
